iter	Logloss
0	0.6302397945
1	0.5764141447
2	0.5315702052
3	0.4930079922
4	0.4596048125
5	0.4311349769
6	0.4064424487
7	0.3842933043
8	0.3648591558
9	0.34797013
10	0.3330682649
11	0.3199884123
12	0.3081801933
13	0.2976338548
14	0.2887694709
15	0.2804376456
16	0.2731367066
17	0.26656913
18	0.2604743705
19	0.2555635689
20	0.2508550719
21	0.2467494018
22	0.2431460426
23	0.2397562875
24	0.2366265289
25	0.2337353463
26	0.2312991783
27	0.2290865667
28	0.2269329406
29	0.2248960711
30	0.2232310102
31	0.2216356202
32	0.2200479906
33	0.2187423237
34	0.2177533772
35	0.2167959082
36	0.2158678155
37	0.2146974391
38	0.2138624583
39	0.2133752454
40	0.2127723287
41	0.2120627605
42	0.2113996678
43	0.2107287564
44	0.2100487277
45	0.2094049243
46	0.2089286324
47	0.2084317981
48	0.2078900895
49	0.2075825983
50	0.2072509141
51	0.2068900014
52	0.206523728
53	0.2062676221
54	0.2058480848
55	0.2055300419
56	0.2052062405
57	0.204952308
58	0.2045980166
59	0.204377756
60	0.2041059968
61	0.2038767149
62	0.2035458769
63	0.2033310011
64	0.2031230005
65	0.2028826261
66	0.2026899563
67	0.2023838442
68	0.2021978205
69	0.202029107
70	0.2016717807
71	0.2015483368
72	0.201364991
73	0.2010984677
74	0.2008288248
75	0.2006826789
76	0.2005017599
77	0.2003608142
78	0.2000740483
79	0.1999449341
80	0.1997869399
81	0.1995392649
82	0.1991884639
83	0.1991052527
84	0.1989687465
85	0.1988340383
86	0.198630336
87	0.198516066
88	0.1983435846
89	0.198220827
90	0.1980015733
91	0.1978132634
92	0.1976329158
93	0.197509299
94	0.1973968869
95	0.1972302371
96	0.1971043757
97	0.1969816489
98	0.1968178551
99	0.1966730987
100	0.196552435
101	0.1964000357
102	0.196315522
103	0.1961890045
104	0.1959832971
105	0.1958365977
106	0.1956928723
107	0.1955298907
108	0.1954248834
109	0.1952376342
110	0.195055479
111	0.194976053
112	0.19480879
113	0.1946782065
114	0.1945462763
115	0.1944366872
116	0.1943315564
117	0.1941837862
118	0.1940989466
119	0.1940190584
120	0.1938696888
121	0.1937769174
122	0.1936839533
123	0.193581403
124	0.193405956
125	0.1932155796
126	0.1930307442
127	0.1929603902
128	0.1928152027
129	0.1927232994
130	0.1926399351
131	0.1924851724
132	0.1923611161
133	0.1922395285
134	0.1921268717
135	0.1919902953
136	0.1917715512
137	0.1916434694
138	0.1915012878
139	0.1914129688
140	0.1912742026
141	0.1911186673
142	0.1909855631
143	0.1908230796
144	0.1907180524
145	0.1905822588
146	0.1903444008
147	0.1902662532
148	0.1901346229
149	0.1900341683
150	0.1899520855
151	0.1897810546
152	0.1896699716
153	0.1895351427
154	0.1894293062
155	0.1893137593
156	0.1890828842
157	0.1889890579
158	0.1888565273
159	0.1886835642
160	0.188555208
161	0.1883577611
162	0.188235569
163	0.188075896
164	0.187980915
165	0.187804145
166	0.1877060527
167	0.1875729659
168	0.1874885206
169	0.1873256804
170	0.1871741932
171	0.1870584759
172	0.1869551341
173	0.18683273
174	0.1867311021
175	0.186642379
176	0.1865784681
177	0.1864769523
178	0.186286937
179	0.1860962182
180	0.185998953
181	0.1859225685
182	0.185840609
183	0.1857625106
184	0.1856418905
185	0.1855583213
186	0.1854466269
187	0.1853594888
188	0.185223585
189	0.1851417995
190	0.1850331811
191	0.1849351475
192	0.1847824006
193	0.1846730861
194	0.1845068864
195	0.1844130442
196	0.1842726169
197	0.1841670576
198	0.1840714556
199	0.1839999975
200	0.1839003838
201	0.1838470425
202	0.1837093057
203	0.183575579
204	0.1834609412
205	0.1834140278
206	0.1832602451
207	0.1831106423
208	0.1830089927
209	0.1828815806
210	0.1827810673
211	0.1826656003
212	0.1825984973
213	0.1825088399
214	0.1823803006
215	0.1822697939
216	0.1821542616
217	0.182008086
218	0.1818772625
219	0.1817923169
220	0.1817454499
221	0.1816882205
222	0.1815950584
223	0.1814630909
224	0.181401356
225	0.181319343
226	0.1812151136
227	0.181093052
228	0.1810143928
229	0.1809185851
230	0.180751862
231	0.180694944
232	0.1806020988
233	0.1805636071
234	0.1804522512
235	0.1803654778
236	0.1802727457
237	0.1802213851
238	0.1800981971
239	0.1799834608
240	0.1799357929
241	0.1798208811
242	0.1797082332
243	0.179595695
244	0.1794867394
245	0.1793558044
246	0.1792468816
247	0.1791736845
248	0.1790992111
249	0.1789974058
250	0.178924656
251	0.1788861181
252	0.1787943888
253	0.1786867322
254	0.1785840436
255	0.178502319
256	0.1784301898
257	0.1783560076
258	0.1782391764
259	0.1781184274
260	0.1779972621
261	0.1779292011
262	0.177870407
263	0.1778046699
264	0.1776304115
265	0.1775537283
266	0.1775002791
267	0.1773992343
268	0.1773549902
269	0.1772890694
270	0.1772225427
271	0.1771337201
272	0.1770512319
273	0.1769488952
274	0.1768534084
275	0.1768060495
276	0.1767117495
277	0.1766659013
278	0.1765355721
279	0.1764004989
280	0.1763032799
281	0.1762065475
282	0.1761170822
283	0.1760199503
284	0.1759018674
285	0.1757578637
286	0.1757027272
287	0.1756084928
288	0.1755089166
289	0.175387366
290	0.175291203
291	0.175201498
292	0.1751250996
293	0.1750437537
294	0.1750001657
295	0.1748976574
296	0.1748566071
297	0.1747795125
298	0.1747008023
299	0.1745771361
300	0.1745319649
301	0.1744580228
302	0.1743611738
303	0.1742850093
304	0.1741874012
305	0.1740831083
306	0.1739717632
307	0.1738274391
308	0.1737376171
309	0.1736488026
310	0.1735059544
311	0.1734293579
312	0.173366083
313	0.1732874319
314	0.1731613538
315	0.17307717
316	0.1729187075
317	0.1728192496
318	0.1727359728
319	0.1726389516
320	0.1726046573
321	0.1725274707
322	0.1724182423
323	0.1723287232
324	0.1722358303
325	0.1721612957
326	0.1720898234
327	0.1720004809
328	0.1719091114
329	0.1718402993
330	0.1717740334
331	0.1717447497
332	0.1716284166
333	0.1715361708
334	0.1713979716
335	0.1713121254
336	0.1712513312
337	0.171151069
338	0.1710662663
339	0.1709562801
340	0.1708770674
341	0.1708296809
342	0.1707616087
343	0.1707131479
344	0.1706081635
345	0.1705139622
346	0.1704341368
347	0.1703279267
348	0.1702779251
349	0.1702111737
350	0.1701516466
351	0.1700643691
352	0.1699837257
353	0.1699160679
354	0.1698780049
355	0.1698083479
356	0.1697209014
357	0.1696484413
358	0.1695531918
359	0.1694951866
360	0.169406119
361	0.1693127199
362	0.1692748188
363	0.1691604154
364	0.1690690715
365	0.1689959948
366	0.1688984835
367	0.1687915972
368	0.1687148677
369	0.1686564563
370	0.1685883574
371	0.1684592121
372	0.1683679398
373	0.1682585295
374	0.1681477335
375	0.1680601663
376	0.1680240923
377	0.1679595443
378	0.1678714777
379	0.1677904493
380	0.1677274708
381	0.1676755817
382	0.1675181799
383	0.1674292257
384	0.167391936
385	0.1673521262
386	0.1672259231
387	0.1671593984
388	0.1670828767
389	0.1670043928
390	0.1668650088
391	0.1668319197
392	0.1667645353
393	0.1666953468
394	0.1666224554
395	0.166546377
396	0.1664367658
397	0.1664047533
398	0.1663665651
399	0.1663001311
400	0.1662015799
401	0.1660028941
402	0.1659017565
403	0.1658088179
404	0.1657283561
405	0.1656069516
406	0.165542405
407	0.1654754986
408	0.1654078982
409	0.1653648121
410	0.1652790285
411	0.1652333244
412	0.1651451876
413	0.1650796785
414	0.16495504
415	0.1648692393
416	0.1647782348
417	0.1646832862
418	0.164649342
419	0.1645884366
420	0.1645465806
421	0.1644618067
422	0.1644063628
423	0.1643357103
424	0.1642609883
425	0.1642112126
426	0.1641593038
427	0.1641196621
428	0.1640660663
429	0.1640255789
430	0.1639494735
431	0.1638455878
432	0.1638033261
433	0.1637301479
434	0.1636777047
435	0.1636026394
436	0.1635133124
437	0.163482665
438	0.1634405805
439	0.1633600161
440	0.1632810166
441	0.1632097563
442	0.1631439498
443	0.1630779162
444	0.1629783158
445	0.1629260124
446	0.1628816099
447	0.1628199633
448	0.1627236991
449	0.1626582005
